1,0,0,0,28,63
4,73,134,134,210,239
7,137,196,197,262,291
6,164,251,251,348,377
8,302,375,376,465,494
11,419,507,507,603,632
9,530,590,591,660,689
5,614,702,702,797,827
2,739,812,813,894,923
10,819,893,893,990,1019
3,944,1018,1018,1097,1126
