1,0,0,0,29,65,
2,0,0,0,45,76,
3,0,0,0,61,98,
5,0,0,0,78,109,
7,118,182,182,251,281,
5,153,234,235,330,361,
8,282,374,374,471,502,
6,376,457,458,542,573,
